Report Date/Time: 02/01/2018 05:13 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 1
,,,,,"2018 January Voter Registration - January 1, 2018",,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,ACTIVE,,,,,
,County,Precincts,Date/Period,Democratic,,Green,Libertarian,Republican,Other,TOTAL
,Apache,45,44029,28706,,55,157,8742,12588,50248
,Apache,45,44121,28787,,55,152,8803,12673,50470
,Apache,44,43848,28783,,55,151,8796,12725,50510
,Cochise,49,44029,19687,,144,566,28276,25240,73913
,Cochise,49,44121,19740,,142,565,28460,25466,74373
,Cochise,49,43848,19077,,131,551,27490,23913,71162
,Coconino,71,44029,32547,,305,870,20975,27395,82092
,Coconino,71,44121,32536,,305,853,20985,27562,82241
,Coconino,71,43848,32688,,303,855,21148,27883,82877
,Gila,39,44029,9128,,33,185,12603,8299,30248
,Gila,39,44121,9131,,32,182,12778,8431,30554
,Gila,39,43848,9133,,32,183,12903,8516,30767
,Graham,22,44029,5535,,14,83,8300,4436,18368
,Graham,22,44121,5506,,14,81,8341,4472,18414
,Graham,22,43848,5515,,13,79,8403,4540,18550
,Greenlee,8,44029,1989,,3,33,1384,1317,4726
,Greenlee,8,44121,1987,,3,33,1400,1336,4759
,Greenlee,8,43848,1981,,3,35,1409,1354,4782
,La Paz,11,44029,2215,,13,35,3677,3427,9367
,La Paz,11,44121,2213,,13,38,3711,3469,9444
,La Paz,11,43848,2223,,14,38,3766,3531,9572
,Maricopa,724,44029,630235,,3897,21085,782806,771006,2209029
,Maricopa,724,44121,635498,,3913,21252,788298,780715,2229676
,Maricopa,738,43848,629647,,3853,20955,785290,769039,2208784
,Mohave,24,44029,21083,,160,768,53330,45591,120932
,Mohave,24,44121,20966,,159,755,53776,45619,121275
,Mohave,24,43848,20481,,155,740,53458,44419,119253
,Navajo,14,44029,25943,,75,438,21680,18138,66274
,Navajo,14,44121,26052,,74,446,21939,18376,66887
,Navajo,14,43848,25320,,72,421,21185,17706,64704
,Pima,248,44029,203784,,1694,4376,162284,164810,536948
,Pima,248,44121,200939,,1657,4266,160932,162861,530655
,Pima,248,43848,197911,,1605,4158,158126,160239,522039
,Pinal,102,44029,51828,,284,1539,67401,73415,194467
,Pinal,102,44121,52342,,286,1553,68473,74697,197351
,Pinal,102,43848,52806,,287,1591,69234,75802,199720
,Santa Cruz,24,44029,13638,,46,156,4308,8668,26816
,Santa Cruz,24,44121,13722,,46,152,4332,8819,27071
,Santa Cruz,24,43848,13801,,46,157,4362,8912,27278
,Yavapai,45,44029,28642,,313,1107,63255,46093,139410
,Yavapai,45,44121,27852,,308,1053,62080,44985,136278
,Yavapai,45,43848,28062,,305,1078,62866,45592,137903
,Yuma,44,44029,29967,,73,553,25133,32109,87835
,Yuma,44,44121,29404,,66,560,24440,31398,85868
,Yuma,44,43848,29319,,64,562,24553,31692,86190
