STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Page: 1
"2020 January Voter Registration - January 02, 2020",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,,,
,,,,,,,,,,,,,,,,,,
Apache,44,,44031,,,28525,,,53,157,9295,,12533,,50563,,,
Apache,44,,44123,,,28704,,,54,154,9481,,12660,,51053,,,
Apache,44,,43850,,,28734,,,*,161,9589,,12735,,51219,,,
,,,,,,,,,,,,,,,,,,
Cochise,49,,44031,,,19323,,,115,553,28623,,24209,,72823,,,
Cochise,49,,44123,,,19519,,,117,569,28949,,24428,,73582,,,
Cochise,49,,43850,,,19771,,,*,574,29507,,24868,,74720,,,
,,,,,,,,,,,,,,,,,,
Coconino,71,,44031,,,34639,,,279,815,21869,,27564,,85166,,,
Coconino,71,,44123,,,35546,,,271,835,22224,,28049,,86925,,,
Coconino,71,,43850,,,35787,,,*,834,22230,,28094,,86945,,,
,,,,,,,,,,,,,,,,,,
Gila,39,,44031,,,8692,,,27,181,13405,,8185,,30490,,,
Gila,39,,44123,,,8512,,,31,177,13311,,7903,,29934,,,
Gila,39,,43850,,,8664,,,*,178,13744,,8238,,30824,,,
,,,,,,,,,,,,,,,,,,
Graham,22,,44031,,,5210,,,12,91,8644,,4576,,18533,,,
Graham,22,,44123,,,5259,,,11,97,8891,,4685,,18943,,,
Graham,22,,43850,,,5268,,,*,98,8999,,4771,,19136,,,
,,,,,,,,,,,,,,,,,,
Greenlee,8,,44031,,,1839,,,3,38,1467,,1303,,4650,,,
Greenlee,8,,44123,,,1826,,,3,41,1502,,1332,,4704,,,
Greenlee,8,,43850,,,1805,,,*,39,1538,,1353,,4735,,,
,,,,,,,,,,,,,,,,,,
La Paz,11,,44031,,,2317,,,14,40,4289,,3800,,10460,,,
La Paz,11,,44123,,,2277,,,13,43,4235,,3723,,10291,,,
La Paz,11,,43850,,,2290,,,*,44,4344,,3769,,10447,,,
,,,,,,,,,,,,,,,,,,
Maricopa,743,,44031,,,691308,,,3585,21445,819103,,786438,,2321879,,,
Maricopa,743,,44123,,,705783,,,3605,21674,830080,,796729,,2357871,,,
Maricopa,743,,43850,,,724099,,,*,21847,840167,,811984,,2398097,,,
,,,,,,,,,,,,,,,,,,
Mohave,24,,44031,,,20238,,,135,707,58383,,42378,,121841,,,
Mohave,24,,44123,,,20653,,,139,738,60318,,43130,,124978,,,
Mohave,24,,43850,,,20427,,,*,721,60951,,42442,,124541,,,
,,,,,,,,,,,,,,,,,,
Navajo,14,,44031,,,25066,,,86,388,22057,,17593,,65190,,,
Navajo,14,,44123,,,25120,,,82,383,22241,,17720,,65546,,,
Navajo,14,,43850,,,25077,,,*,381,22408,,17918,,65784,,,
,,,,,,,,,,,,,,,,,,
Pima,249,,44031,,,217058,,,1426,4411,167553,,173563,,564011,,,
Pima,249,,44123,,,220695,,,1380,4353,168156,,174983,,569567,,,
Pima,249,,43850,,,223115,,,*,4361,168990,,177142,,573608,,,
,,,,,,,,,,,,,,,,,,
Pinal,102,,44031,,,56162,,,294,1602,75453,,76700,,210211,,,
Pinal,102,,44123,,,57250,,,307,1604,77442,,77929,,214532,,,
Pinal,102,,43850,,,58329,,,*,1624,79631,,79429,,219013,,,
,,,,,,,,,,,,,,,,,,
Santa Cruz,24,,44031,,,14548,,,50,151,4759,,9542,,29050,,,
Santa Cruz,24,,44123,,,14628,,,47,154,4822,,9669,,29320,,,
Santa Cruz,24,,43850,,,13429,,,*,132,4495,,8676,,26732,,,
,,,,,,,,,,,,,,,,,,
Yavapai,45,,44031,,,29603,,,269,1073,67717,,45587,,144249,,,
Yavapai,45,,44123,,,30043,,,268,1087,68849,,45694,,145941,,,
Yavapai,45,,43850,,,30245,,,*,1081,69499,,45467,,146292,,,
,,,,,,,,,,,,,,,,,,
Yuma,44,,44031,,,31084,,,72,606,26792,,33369,,91923,,,
Yuma,44,,44123,,,31216,,,77,605,27047,,33720,,92665,,,
Yuma,44,,43850,,,31705,,,*,602,27843,,34406,,94556,,,
